"updatedAt","title","summaryPreview","link","pubDate"
"2026-09-25T07:27:30.891Z","""추석 먹거리 고민 덜어드려요""…외식업계 할인 혜택 풍성","교촌치킨은 최근 앱 멤버십을 개편해 포인트 활용도를 높였다. 적립한 포인트를 주문 결제에 사용하거나 앱 내 '쿠폰상점'에서 원하는 메뉴 쿠폰으로 교환할 수 있다. 출석 체크 등 앱...","https://www.ajunews.com/view/20260924214445508","Fri, 25 Sep 2026 12:02:00 +0900"
"2026-09-25T07:27:30.891Z","외식업계, 추석 맞아 자사앱 혜택 확대…할인·포인트 경쟁","교촌치킨은 앱 멤버십을 개편해 등급별 포인트 적립률을 높이고, 적립 포인트로 메뉴 쿠폰을 구매할 수 있는 '쿠폰상점'을 운영한다. 출석체크 보상과 신규 가입 고객 대상 쿠폰도 마련...","https://www.shinailbo.co.kr/news/articleView.html?idxno=5065660","Fri, 25 Sep 2026 11:10:00 +0900"
"2026-09-25T07:27:30.891Z","교촌 800만·BBQ 500만…프랜차이즈 '자사 앱' 키운다","자사 앱을 통해 대규모 고객을 확보한 대표적인 업체 중 하나는 교촌치킨이다. 교촌치킨의 자사 앱 가입자는 지난 2023년 531만명에서 지난해 710만명으로 늘었다. 올해 1분기에...","https://www.newsway.co.kr/news/view?ud=2026092310532984784","Fri, 25 Sep 2026 08:48:00 +0900"
"2026-09-25T07:27:30.891Z","‘혼추족’ 걱정마…피자·치킨 추석 자사앱 할인 열전","교촌치킨은 최근 앱 멤버십 제도를 개편해 등급별 포인트 적립률을 상향하고, 신규 가입 시 웨지감자 무료 쿠폰을 지급하는 등 상시 혜택 덩치를 키웠다. 자사앱 외에도 간편결제 플랫폼...","https://www.mediapen.com/news/view/1125860","Fri, 25 Sep 2026 08:38:00 +0900"
"2026-09-25T07:27:30.891Z","식음료 업계, 월드컵 이어 아시안게임 특수 노린다","교촌치킨을 운영하는 교촌에프앤비는 내달 4일까지 자사 앱에서 '교촌 메달 챌린지'를 진행한다. 일반 치킨 주문 시 동·은메달을, 미션 메뉴인 윙콤보 주문 시 금메달을 증정하는 방식...","https://www.sisajournal-e.com/news/articleView.html?idxno=423928","Fri, 25 Sep 2026 07:00:00 +0900"
"2026-09-25T07:27:30.891Z","오늘 탱고 파트너 체형은... 두 아이 엄마 인생 바꾼 메모들","그래도 힘들 때면 교촌치킨의 허니콤보를 먹었다. 그러면 단짠단짠한 양념과 닭기름 덕분인지 글이 조금 더 술술 써지는 기분이었다. 그때 늘어난 2인치의 허리는 지금도 나를 든든히 받...","https://n.news.naver.com/mnews/article/047/0002530209?sid=103","Thu, 24 Sep 2026 19:36:00 +0900"
"2026-09-25T07:27:30.891Z","추석 외식비 부담 낮춘다…외식업계, 자사앱·배달앱 할인 경쟁","교촌치킨은 앱 멤버십을 개편해 등급별 포인트 적립률을 높이고, 적립 포인트로 메뉴 쿠폰을 구매할 수 있는 '쿠폰상점'을 운영한다. 출석 횟수에 따른 보상과 신규 가입 고객 대상 쿠...","http://www.metroseoul.co.kr/article/20260924500032","Thu, 24 Sep 2026 12:42:00 +0900"
"2026-09-25T07:27:30.891Z","한우 800g에 커피 쿠폰까지…추석 연휴 '고향사랑기부' 어떠세요?","여기에 투썸플레이스 투썸하트, 교촌치킨, 현대백화점그룹 H.Point, BC카드 페이북 등 위기브 제휴사 이벤트를 이용하면 약 1만원 상당의 쿠폰·포인트도 추가로 받는다. 이를 단...","https://n.news.naver.com/mnews/article/586/0000138897?sid=102","Thu, 24 Sep 2026 11:00:00 +0900"
"2026-09-25T07:27:30.891Z","""배달앱 대신 자사앱 쓰세요""… 추석 연휴 외식업계 자사앱 프로모션 강...","교촌치킨은 멤버십 제도를 개편해 등급별 포인트 적립률을 높이기로 했다. 새롭게 도입한 쿠폰상점과 매일 출석 체크 등을 통해 실질적인 혜택을 넓혔으며 신규 가입자에게는 웨지감자 무료...","https://news.mtn.co.kr/news-detail/2026092322285494933","Thu, 24 Sep 2026 09:10:00 +0900"
"2026-09-25T07:27:30.891Z","“다 같은 치킨이라고?”…수원 통닭거리 'K미식벨트' 가보니 [르포]","프로그램은 △농업·치킨·수원화성을 연결한 ‘수원 치킨 로드’ △교촌1991스쿨과 수원 관광자원을 연계한 ‘K헤리티지 치킨 로드’ △수원 통닭거리 축제와 야간관광을 결합한 ‘수원 통...","https://n.news.naver.com/mnews/article/018/0006375248?sid=103","Thu, 24 Sep 2026 09:09:00 +0900"
